url,filename,title,date_published,category,size_str,size_bytes,page_url,first_seen,local_path,source
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2026-03/Registro%20de%20solicitudes%20de%20bloqueos%20al%2002%20de%20marzo%20de%202026.xlsx,Registro de solicitudes de bloqueos al 02 de marzo de 2026.xlsx,Registro de solicitudes de bloqueo electrónico temporal a proveedores de internet (ISP),2026-03-02,,43.06 KB,44093,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2026-03-02/Registro de solicitudes de bloqueos al 02 de marzo de 2026.xlsx,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2026-01/TARIFARIO%202026_0.pdf,TARIFARIO 2026_0.pdf,Tasas y Tarifas 2026 establecidas en moneda nacional de los servicios administrados por URSEC,2026-01-30,Tasas y tarifas,692.57 KB,709191,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2026-01-30/TARIFARIO 2026_0.pdf,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Listado%20Aeronaves%20Octubre%202025.pdf,Listado Aeronaves Octubre 2025.pdf,Estaciones a bordo de aeronaves Pdf,2025-10-24,Servicio móvil aeronáutico,187.81 KB,192317,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-24/Listado Aeronaves Octubre 2025.pdf,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Listado%20Aeronaves%20Octubre%202025.ods,Listado Aeronaves Octubre 2025.ods,Estaciones a bordo de aeronaves ods,2025-10-24,Servicio móvil aeronáutico,24.66 KB,25251,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-24/Listado Aeronaves Octubre 2025.ods,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Embarcaciones%20Vigentes%20Octubre%202025.pdf,Embarcaciones Vigentes Octubre 2025.pdf,Estaciones a bordo de embarcaciones Pdf,2025-10-24,Móvil marítimo,264.15 KB,270489,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-24/Embarcaciones Vigentes Octubre 2025.pdf,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Embarcaciones%20Vigentes%20Octubre%202025.ods,Embarcaciones Vigentes Octubre 2025.ods,Estaciones a bordo de embarcaciones Ods,2025-10-24,Móvil marítimo,24.43 KB,25016,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-24/Embarcaciones Vigentes Octubre 2025.ods,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Nomina%20Distintivo%20Especial%20Octubre%202025.pdf,Nomina Distintivo Especial Octubre 2025.pdf,Listado de Distintivos Especiales asignados a Radioaficionados en pdf,2025-10-16,Radioaficionados,220.26 KB,225546,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-16/Nomina Distintivo Especial Octubre 2025.pdf,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Nomina%20Distintivo%20Especial%20Octubre%202025.ods,Nomina Distintivo Especial Octubre 2025.ods,Listado de Distintivos Especiales asignados a Radioaficionados en ods,2025-10-16,Radioaficionados,20.49 KB,20981,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-16/Nomina Distintivo Especial Octubre 2025.ods,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Nomina%20RCH%20Octubre%202025.pdf,Nomina RCH Octubre 2025.pdf,Datos de contacto de Radio Clubes Habilitados en pdf,2025-10-16,,259.15 KB,265369,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-16/Nomina RCH Octubre 2025.pdf,datos
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/sites/unidad-reguladora-servicios-comunicaciones/files/2025-10/Nomina%20RCH%20Octubre%202025.ods,Nomina RCH Octubre 2025.ods,Datos de contacto de Radio Clubes Habilitados en ods,2025-10-16,,26.47 KB,27105,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/datos-y-estadisticas/datos,2026-04-11,downloads/2025-10-16/Nomina RCH Octubre 2025.ods,datos
